name,neighborhood,url_slug,res_id,rating
Chez Ma Tante,Greenpoint,chez-ma-tante,1220,4.74787430683919
The Uptown Garrison,Washington Heights,the-uptown-garrison,3273,4.9
DIA,East Village,dia,3274,4.66666666666667
Harbor Lights Restaurant,East Norwalk,harbor-lights-restaurant,2252,4.55688622754491
Laboratorio di Pasta,Hells Kitchen,laboratorio-di-pasta,2259,4.34177215189873
Marta,Flatiron,marta-manhattan,3287,4.5959595959596
Bathtub Gin,Chelsea,bathtub-gin,1245,4.43080020130851
Miss Ada,Fort Greene,miss-ada,1246,4.75677250218468
Freemans,Lower East Side,freemans,223,4.53048128342246
db Bistro Moderne,Midtown,db-bistro-moderne,226,4.15384615384615
Ed’s Lobster Bar,Soho,eds-lobster-bar,2427,4.7328990228013
Miznon at Chelsea Market,Chelsea,miznon-at-chelsea-market,3300,4.21739130434783
Boulud Sud,Upper West Side,boulud-sud,229,4.4622641509434
Bar Boulud,Upper West Side,bar-boulud,230,4.28333333333333
Landmarc at the Time Warner Center,Columbus Circle,landmarc-at-the-time-warner-center,234,4.08510638297872
Slowly Shirley,West Village,slowly-shirley,3623,4.61904761904762
The Half Pint,Greenwich Village,the-half-pint,3308,4.70588235294118
Rahi,West Village,rahi,1263,4.49421084704449
Seamore's DUMBO,DUMBO,seamores-dumbo,2295,4.23938223938224
Fedora,West Village,fedora,248,4.75417201540436
Canyon Road,Upper East Side,canyon-road,3323,5.0
Abaita,Midtown East,abaita,1986,4.63157894736842
Surf NY,Stapleton,surf,2307,4.58391608391608
Juban,Chelsea,juban,1285,4.55582524271845
Hasaki,NoHo,hasaki,2311,4.52197802197802
Surf NJ,Rumson,surf-nj,2312,4.75
Dante,West Village,dante,1290,4.68350335904454
Red Hook Lobster Pound,Red Hook,red-hook-lobster-pound,1292,4.65805168986083
Sushi AMANE,Midtown East,sushi-amane-fly,3342,4.6984126984127
central+main,Madison,centralandmain,2319,4.64204545454545
Morrell Wine Bar & Cafe,Midtown East,morrell-wine-bar-and-cafe,3344,4.56521739130435
Seamore's NOLITA,NoLita,seamores,277,4.45535105657805
Voula,West Village,voula-restaurant,1302,4.33384379785605
Tipsy Parson,Chelsea,tipsy-parson-ny,2330,4.30660377358491
Tetsu,TriBeCa,tetsu,1307,4.3313298271976
Little Frog,Upper East Side,little-frog,1308,4.55652976465159
Cibo e Vino,Upper West Side,cibo-e-vino,3044,4.51327433628319
Bruno,East Village,bruno,287,4.34253731343284
Tarallucci e Vino NoMad,NoMad,tarallucci-e-vino-nomad,2336,3.83636363636364
White Star Warren Street,Paulus Hook,white-star-warren-street,1072,4.83333333333333
Undici,Rumson,undici,2338,4.71806167400881
Grand Army,Boerum Hill,grand-army,1317,4.67174796747967
Sakagura,Midtown East,sakagura,2941,4.63300970873786
Bobo,West Village,bobo,295,4.57718120805369
Emily WV,West Village,emily-west-village,1325,4.72085570066501
Madame Vo NYC,East Village,madame-vo-nyc,2352,4.61426684280053
Edi and the Wolf,Alphabet City,edi-and-the-wolf,305,4.50299401197605
Yakitori Torishin Select Counter,Midtown,torishin,1330,4.81842818428184
Quality Eats UES,Upper East Side,quality-eats-ues,1334,4.45425326762374
Barn Joo,Union Square,barn-joo,2361,4.5072202166065
Bistrot Leo,SoHo,bistrot-leo,2362,4.28813559322034
Popina NYC,Red Hook,popina-nyc,1340,4.8265306122449
Sushi Ishikawa,Upper East Side,sushi-ishikawa,1341,4.84049079754601
Hill Country,NoMad,hill-country,53,4.36363636363636
Air's Champagne Parlor,Greenwich Village,airs-champagne-parlor,1344,4.56917363045497
Banzarbar,Lower East Side,banzarbar,3400,4.47727272727273
Russ & Daughters at the Jewish Museum,Carnagie Hill,russ-and-daughters-at-the-jewish-museum,908,4.49807692307692
The Dutch,SoHo,the-dutch,333,4.5275
Lafayette,NoHo,lafayette,334,4.42685025817556
Bar Primi,NoHo,bar-primi,335,4.64049195837275
ATLA,NoHo,atla,1360,4.44964102564103
Fish Cheeks,Bowery,fish-cheeks,693,4.64471433458775
Keens Steakhouse,Herald Square,keens-steakhouse,3413,4.68354430379747
The Saint Austere,Williamsburg,the-saint-austere,2391,4.8093023255814
Ichimura @ Uchu,Lower East Side,uchu,1373,4.81931034482759
Ristoro del Cinghiale,NoMad,ristoro-del-cinghiale,3422,4.62857142857143
Fort Defiance,Red Hook,fort-defiance,1375,4.65486725663717
Uchu Kaiseki Bar,Lower East Side,bar-uchu,1379,4.88118811881188
Minnie's,Lower East Side,minnies,1384,4.66095890410959
Cervo's,Lower East Side,cervos,1385,4.71703296703297
Hart's,Bedford-Stuyvesant,harts,1386,4.76145454545455
Le Bernardin,Theater District,le-bernardin,1387,4.79078868151716
The Richmond,Staten Island,the-richmond,3436,4.75342465753425
south+pine american eatery,Downtown Morristown,southandpine-american-eatery,1390,4.65614798694233
Osteria Cotta,Upper West Side,osteria-cotta,1391,4.46742857142857
Red Zebra,Sleepy Hollow,red-zebra,1394,4.4794952681388
Alta Calidad,Prospect Heights,alta-calidad,1395,4.65742574257426
Satsuki,Midtown,satsuki,2423,4.66101694915254
Blujeen,Harlem,blujeen,1400,4.08928571428571
Northsquare Restaurant & Lounge,Greenwich Village,northsquare-restaurant-and-lounge,1402,4.67866323907455
Tabaré,Williamsburg,tabare,1403,4.69936034115139
Blue Smoke Flatiron,Flatiron,blue-smoke-flatiron,2428,4.50847457627119
Hillstone Park Ave,NoMad,hillstone-park-ave,386,4.7909730647901
Chumley's,West Village,chumleys,1411,4.52657004830918
Till & Sprocket,Chelsea,till-and-sprocket,3461,3.92537313432836
Langosta Lounge,Asbury Park,langosta-lounge,3462,4.6
Hillstone Midtown,East 50's,hillstone-midtown,392,4.75147726299563
Izakaya Nomad,Flatiron,izakaya-nomad,1417,4.5
Joseph Leonard,West Village,joseph-leonard,394,4.81424148606811
Jeffrey's Grocery,West Village,jeffreys-grocery,395,4.77276326207443
Noi Due Carne (Meat),Midtown West,noi-due-carne,1421,4.50526315789474
Burger & Lobster Flatiron,Flatiron,burger-and-lobster,1425,4.39783281733746
Emily BK,Clinton Hill,emily,405,4.7546812040768
Babu Ji,Union Square,babu-ji,408,4.56699304303015
The Spaniard,West Village,the-spaniard,1435,4.45784832451499
The NoMad,Flatiron,the-nomad,1437,4.67569091934574
Turtle + The Wolf,Montclair,turtle-and-the-wolf,3487,4.93333333333333
Randolph Beer - NOLITA,Little Italy,randolph-beer,416,4.47080979284369
The Malt House Greenwich Village,Greenwich Village,the-malt-house-greenwich-village,3253,4.5
Lilia,Williamsburg,lilia,418,4.78964651342476
Circa Brewing Co,Downtown Brooklyn,circa-brewing-company,1444,4.27480916030534
Azasu,Lower East Side,azasu,3494,4.76190476190476
Dumonet,Carroll Gardens,dumonet,2471,4.74860335195531
Intersect by Lexus,Meatpacking,intersect-by-lexus,1448,4.72222222222222
Mathews Food & Drink,Downtown,mathews-food-and-drink,1071,4.6944065484311
DANTE at Genuine,SoHo,genuine,1453,4.44932844932845
Old Monk,East Village,old-monk,1455,4.22931785195936
Burger & Lobster Bryant Park,Midtown,burger-and-lobster-bryant-park,1462,4.40132770066385
Queens Bully,Forest Hills,queens-bully,1463,4.2037037037037
Pasquale Jones,Nolita,pasquale-jones,440,4.72015309877815
Tsurutontan Midtown,Midtown,tsurutontan-midtown,2490,4.42786069651741
Randolph Beer - WBURG,Williamsburg,randolph-brooklyn,415,4.53206002728513
The Four Horsemen,Williamsburg,the-four-horsemen,2492,4.84498480243161
Mr White,East Village,mr-white,2634,4.48148148148148
Little Choc Apothecary,Williamsburg,little-choc-apothecary,1471,4.40909090909091
The Cannibal NYC,Murray Hill,cannibal,449,4.45666666666667
Insa,Gowanus,insa,450,4.71529619805482
Marlow and Sons,Williamsburg,marlow-and-sons,417,4.62546506821
Flex Mussels- WV,West Village,flex-mussels-west-village,3534,4.60416666666667
Lighthouse,Williamsburg,lighthouse,465,4.48921832884097
Rubirosa,NoLita,rubirosa,466,4.85574927355749
Freek's Mill,Gowanus,freeks-mill,467,4.64358298833271
Speedy Romeo - Brooklyn,Clinton Hill,speedy-romeo-bk,469,4.77628032345013
Polpettina Larchmont,Larchmont,polpettina-147,470,4.58688524590164
Speedy Romeo - Lower East Side,Lower East Side,speedy-romeo-les,472,4.6602023608769
Pondicheri,Nomad,pondicheri,1499,4.13875598086124
Rosemary's Pizza,West Village,rosemarys-pizza,2524,4.56060606060606
Pizza Moto,Red Hook,pizzamoto,1502,4.84203821656051
Don Angie,West Village,don-angie,1505,4.82255688328695
The Pandering Pig,Hudson Heights,the-pandering-pig,3556,4.51851851851852
Emmy Squared Williamsburg,Williamsburg,emmy-squared,486,4.78609823911029
Lamano West Village,West Village,lamano-west-village,2537,4.22388059701493
Copper Kettle Cafe,Hartsdale,copper-kettle-cafe,3495,4.125
Osteria Leana,Oyster Bay,osteria-leana,2642,4.73267326732673
Tokyo Record Bar,Greenwich Village,tokyo-record-bar,1518,4.6404666871354
Shuko,Greenwich Village,shuko,496,4.79435676709708
Good Behavior,Nomad,good-behavior,1523,5.0
Jacob's Pickles,Upper West Side,jacobs-pickles,501,4.65194884287454
Terra Ristorante Italiano,Downtown,terra-ristorante-italiano,2049,4.71489361702128
Banter,Greenwich Village,banter,1529,4.61857707509881
The Library at The Public Theater,East Village,the-library-at-the-public-theater,1531,3.8135593220339
Shuraku,West Village,shuraku,1533,4.5929018789144
Nittis,Hell's Kitchen,nittis,3582,5.0
Ferris,NoMad,ferris,1540,4.61756283805282
BarBacon Union Square,Union Square,barbacon-union-square,3836,5.0
Jeju Noodle Bar,West Village,jeju-noodle-bar,1543,4.49060942889996
Petit Paulette,Fort Greene,petit-paulette,3596,4.0
Rafele Ristorante,West Village,rafele-ristorante,3597,4.74390243902439
Talula's,Asbury Park,talulas,526,4.70689655172414
Le Charlot,Upper East Side,le-charlot,2576,4.71559633027523
Hachibei,Midtown,unagi-ya-hachibei,3666,3.26666666666667
SUGARCANE raw bar grill,Dumbo,sugarcane,1559,4.40283051432516
Social Drink and Food,Midtown,social-drink-and-food,537,4.0
Extra Fancy,Williamsburg,extra-fancy,1565,4.42599277978339
The Harrison,Floral Park,the-harrison-floral-park,3614,4.73076923076923
Corner Delhi,Prospect Heights,corner-delhi,2591,5.0
Flex Mussels - UES,Upper East Side,flex-mussels-ues,3616,4.52941176470588
Estancia 460,Tribeca,estancia-460,2594,4.68627450980392
The Happiest Hour,West Village,the-happiest-hour,3622,4.5625
Shuka,Soho,hundred-acres,1575,4.68294028409874
Tacombi - Fort Greene,Fort Greene,tacombi-fort-greene,2600,4.02083333333333
Oxomoco,Greenpoint,oxomoco,2601,4.70438799076212
