name,neighborhood,url_slug,res_id,rating
Aria Hells Kitchen,Hells Kitchen,aria-hells-kitchen,889,4.36369958275383
Cotenna,West Village,cotenna,890,4.6463963963964
Terra,TriBeCa,terra,891,4.57058476077968
Aria West Village,West Village,aria-west-village,892,4.48586744639376
Freds at Barneys Downtown,Chelsea,freds-at-barneys-downtown,882,4.53465346534653
Clancey,Lower East Side,clancey,894,4.38268792710706
17 Summer Restaurant,Lodi,17-summer,896,4.85479452054795
Roman's,Fort Greene,romans,1003,4.84548002803083
Pig Bleecker,Greenwich Village,pig-bleecker,902,4.53175457481163
La Contenta Oeste,Greenwich Village,la-contenta-oeste,1927,4.34883720930233
Little Alley,Murray Hill,little-alley,1931,4.47272727272727
Montclair Social Club,Montclair,montclair-social-club,2956,4.35143769968051
Bonafini,Prospect Lefferts Garden,bonafini,3982,5.0
El Rio Grande,Midtown East,el-rio-grande,1740,4.62876254180602
The Loyal,West Village,the-loyal,1936,4.41481481481481
Hudson Jane,Fort Greene,hudson-jane,2383,4.27272727272727
Mettā,Fort Greene,metta,917,4.50027056277056
Denizen,Williamsburg,denizen,3991,5.0
Grotta Azzurra Restaurant,Little Italy,grotta-azzurra-restaurant,2968,3.96153846153846
Frenchette,Tribeca,frenchette,1946,4.60078347578348
Foragers Table,Chelsea,foragers-table,1955,4.44244244244244
Delaware & Hudson,Williamsburg,delaware-and-hudson,2980,4.28402366863905
The Fat Radish,Lower East Side,the-fat-radish,934,4.49951845906902
Miss Lily's 7A Cafe & Rum Bar,East Village,miss-lilys-7a-cafe-and-rum-bar,1968,4.72164948453608
The Meatball Shop - Hell's Kitchen,Hell's Kitchen,the-meatball-shop-hells-kitchen,945,4.61654135338346
Sanctuary T,Soho,sanctuary-t,2995,3.18181818181818
Harry's,FiDi,harrys,1865,4.62857142857143
Augustine,Financial District,augustine,954,4.60544325958937
The Writing Room,UES,the-writing-room,3004,4.48056537102473
Beecher's - The Cellar,Union Square,the-cellar,842,4.53604651162791
Corkbuzz Wine Studio,Union Square,corkbuzz-wine-studio,994,4.61171797418073
Dons Bogam Original,Midtown East,dons-bogam,3010,4.45901639344262
The Malt House FiDi,Financial District,the-malt-house-fidi,3011,4.3956043956044
Reynard,Williamsburg,reynard,1014,4.45338790359254
Due West,Greenwich Village,due-west,1990,4.74838709677419
Russian Tea Room,Midtown West,russian-tea-room,1697,4.1958041958042
The Wild Son,Meatpacking District,the-wild-son,3018,4.61
Cellar 335,Historic Downtown,cellar-335,1527,4.79010695187166
Seamore's Brookfield,TriBeCa,seamores-brookfield,3020,4.16243654822335
King,West Village,king,646,4.54927870044854
Otway,Clinton Hill,otway,976,4.55384615384615
Gran Eléctrica,DUMBO,gran-electrica,2001,4.53561643835616
Epistrophy,Nolita,epistrophy,3747,4.6
886,Noho,886,3029,4.53457943925234
Codino,West Village,laboratorio,985,4.503367003367
Ada's Place,Hudson Yards,adas-place,3034,4.47297297297297
Dino,Ft. Greene,dino,2011,4.48598130841121
Blue Smoke Battery Park,Battery Park,blue-smoke-battery-park,3038,4.07142857142857
Little Park,TriBeCa,little-park,336,4.52906976744186
Rose Water,Park Slope,rose-water,3042,4.743961352657
Aurora,Rye,aurora,2020,4.86759581881533
SOOGIL,East Village,soogil,2023,4.36689814814815
Raku Soho,SoHo,raku-soho,2026,4.85519591141397
Littleneck,Gowanus,littleneck,167,4.52366863905325
The Bedford,Bedford,the-bedford,2028,4.5
Di An Di,Greenpoint,di-an-di,2727,4.72
Legacy Records,Hudson Yards,legacy-records,2030,4.49087378640777
Annicka,Greenpoint,annicka,2031,4.45233265720081
Sorellina,Hoboken,sorellina,1008,4.42626728110599
Her Name is Han,Midtown,her-name-is-han,1010,4.69149425287356
Diner,Williamsburg,diner,2038,4.63492063492064
June Wine Bar,Cobble Hill,june-wine-bar,1016,4.6508152173913
Anthony David's,Hoboken,anthony-davids,2041,4.63679245283019
Sushi Gama,Upper East Side,sushi-gama,1841,4.17647058823529
